"Tax Calculation Based On","VAT Calculation Based On",module,Magento_Tax
"Tax Calculation Method Based On","VAT Calculation Method Based On",module,Magento_Tax
"Tax Classes","VAT Classes",module,Magento_Tax
"Tax Class for Shipping","VAT Class for Delivery",module,Magento_Tax
"Taxes","VAT",module,Magento_Tax
"Tax Identifier","VAT Identifier",module,Magento_Tax
"Tax Rate","VAT Rate",module,Magento_Tax
"Tax Rate Information","VAT Rate Information",module,Magento_Tax
"Tax rates at the same priority are added, others are compounded.","VAT rates at the same priority are added, others are compounded.",module,Magento_Tax
"Tax Rule Information","VAT Rule Information",module,Magento_Tax
"Tax Rules","VAT Rules",module,Magento_Tax
"Tax Titles","VAT Titles",module,Magento_Tax
"Tax Zones and Rates","VAT Zones and Rates",module,Magento_Tax
"The tax rate cannot be removed. The VAT rate cannot be removed.","Le taux de taxe ne peut pas être supprimé. Il existe dans une règle de taxe.",module,Magento_Tax
"The tax rate has been deleted.","The VAT rate has been deleted.",module,Magento_Tax
"The tax rate has been imported.","The VAT rate has been imported.",module,Magento_Tax
"The tax rate has been saved.","The VAT rate has been saved.",module,Magento_Tax
"The tax rule has been deleted.","The VAT rule has been deleted.",module,Magento_Tax
"The tax rule has been saved.","The VAT rule has been saved.",module,Magento_Tax
"This sets whether catalog prices entered from Magento Admin include tax.","This sets whether catalogue prices entered from Magento Admin include VAT.",module,Magento_Tax
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","This sets whether delivery amounts entered from Magento Admin or obtained from gateways include VAT.",module,Magento_Tax
"Warning tax configuration can result in rounding errors. ","Warning VAT configuration can result in rounding errors. ",module,Magento_Tax
"Warning tax discount configuration might result in different discounts than a customer might expect. ","Warning VAT discount configuration might result in different discounts than a customer might expect. ",module,Magento_Tax
"We can't delete this tax class right now.","We can't delete this VAT class right now.",module,Magento_Tax
"We can't delete this tax rate right now.","We can't delete this VAT rate right now.",module,Magento_Tax
"We can't save this tax class right now.","We can't save this VAT class right now.",module,Magento_Tax
"We can't save this tax rule right now.","We can't save this VAT rule right now.",module,Magento_Tax
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","When catalogue price includes VAT, enable this setting to fix the price no matter what the customer's VAT rate.",module,Magento_Tax
"Yes (only price with tax)","Yes (only price with VAT)",module,Magento_Tax
"You cannot delete this tax class because it is used in existing %1(s).","You cannot delete this VAT class because it is used in existing %1(s).",module,Magento_Tax
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this VAT class because it is used in VAT Rules. You have to delete the rules it is used in first.",module,Magento_Tax
"You deleted the tax rate.","You deleted the VAT rate.",module,Magento_Tax
"Your credit card will be charged for","Your debit/credit card will be charged for",module,Magento_Tax
"You saved the tax rate.","You saved the VAT rate.",module,Magento_Tax
"You saved the tax rule.","You saved the VAT rule.",module,Magento_Tax
"Zip code should not contain characters other than digits.","Post code should not contain characters other than digits.",module,Magento_Tax
"Zip/Post Code","Post Code",module,Magento_Tax
"Zip/Post is Range","Post Code is Range",module,Magento_Tax
